Rental_ID,Rental_Start_Date,Rental_End_Date,Rental_Duration,Rental_Fee,Pickup_Location,Dropoff_Location,Agent_ID,Agent_Name,Customer_ID,First_Name,Last_Name,Email,Phone_Number,Address,License_Number,Membership_Status,Preferred_Vehicle_Type,Car_ID,Make,Model,Year,Type,License_Plate,VIN,Mileage,Daily_Rate,Location_ID,Branch_Name,City,State,Country,Zip_Code,Payment_ID,Payment_Type,Amount,Payment_Date,Payment_Status
f7584af8-93dc-4350-a76b-3ce50c84cb54,2024-02-16,2025-01-16,27,492.99,Randystad,Kathleenland,e6ae929c-cb38-4313-8b48-aee61832fed2,Michael Cannon,2a3513a3-6333-4ca2-9592-bd9bf4991804,Amanda,Hicks,victoriawilliams@example.org,+1-358-296-2960,"9864 Jerry Extensions Suite 990
West Christopherbury, AS 80546",845-72-5961,Inactive,SUV,8798cef3-31de-470c-833e-0155f4d6f7ec,Wilkins-Ray,American,2009,Convertible,556BZ,aa8ab899-e778-43e5-af48-56011d8a7818,47977,65.54,d4a8924f-4823-4ff9-8920-beb5e10f4cb2,"Roberts, Paul and Alvarez",Lake Jamiemouth,Mississippi,Niger,47275,30d24b32-777a-462e-bff8-a815502e327b,Debit Card,77.4,2023-09-26,Pending
35cafa84-0667-4138-a130-77b5a5223845,2023-11-26,2024-12-13,28,225.91,Millerhaven,North Lindseyton,53e1ef2d-de10-4061-aae9-108dcca7682e,Diana Lin,8b521414-3887-4b51-b6d8-80104b5372f6,Emily,Lee,silvaelizabeth@example.org,001-708-649-7574x310,"087 Mark Isle
Youngtown, MO 25437",875-34-8348,Active,Coupe,4ba6385b-a1ac-4b7c-a901-02e292235242,"Woods, Dixon and Mcguire",perhaps,2013,Sedan,95L H03,a4b04e0f-2d9e-43d1-a885-fe3d0361c431,66514,45.95,74f355cd-2679-476a-8d52-1784f89174ec,Robinson-Powell,West Stevenfurt,Minnesota,Finland,03492,696f56f8-6a4c-4d95-9d62-508df8710dd3,Credit Card,91.3,2023-12-11,Pending
709e4377-de38-4ffe-b1ce-fa4ebdbe47ff,2024-07-13,2025-01-07,23,371.79,North Robin,Collinsshire,9587a075-bda4-4341-8f2d-f793dbf31904,Xavier Jones,430e9211-f070-45bd-b03b-e96d4931b15c,Kaitlyn,Anderson,eugenemolina@example.net,+1-995-905-0803x31999,"12630 Shannon Pines
Matthewport, TN 38306",632-27-0198,Inactive,Wagon,a4aad2db-9be9-45b6-a1f8-5ab01431e453,King PLC,create,2009,Convertible,4-41423,5f37c749-604b-42d6-a8f1-b207a8dc23a5,120362,42.65,e29b9a37-890c-44aa-848d-70c4b3bac27e,"Jones, White and Pruitt",Wongville,Massachusetts,Seychelles,74612,3a724345-52fe-4455-9a30-6615d0aaba88,Credit Card,455.45,2023-08-14,Paid
2ded9c49-bc37-4afe-87b2-b120af92420f,2024-03-29,2024-12-25,14,262.77,Phillipsfurt,Lake Ronaldton,304de20c-d28c-44d2-8cfd-269887657f17,Erin Taylor,8670bd48-d832-49bd-8b95-95debb0f2285,Thomas,Allen,cruzdawn@example.net,633.355.1949x6118,"15068 Wilson Station Suite 111
North Belindahaven, RI 21651",181-59-6488,Inactive,Truck,6f1f3441-561f-4a2b-afef-ff8c2aef7aae,Turner Inc,anything,2010,Coupe,XDA-712,f3036864-145b-4841-addf-0157933d064e,95210,85.26,875d3be1-fbf6-439c-9d93-663e78b596d3,Simon-Jackson,Jacobsfort,Louisiana,Swaziland,99707,d255cdcd-5c62-47fd-ae9a-cec2ee97a635,PayPal,287.14,2023-08-30,Paid
e715acb5-e5c6-4856-b207-679dd0ce4f4d,2023-12-06,2024-12-09,2,448.61,Elliottmouth,South Douglasburgh,8fd2358c-6804-413f-91bb-867760245081,Michael Green,0e14d50d-8d2d-4519-8816-826fc831d5c5,Gregory,Hunt,andrewbrown@example.org,(515)980-7351x8512,"0901 Alexandra Walks Suite 429
New Kevin, AL 23202",338-26-2881,Active,Convertible,1ca7cdd1-9e9e-4760-97df-a673e17ca5cb,"Gray, Cabrera and Taylor",knowledge,2007,Wagon,SDI I20,3b2de73d-b02a-4199-a023-9a21ce9f8130,50853,57.16,ac18768f-ff5b-414d-84cb-f070e8471991,Jenkins-Edwards,Tomfort,New Jersey,Uganda,48832,4a608cad-b969-4ae9-b2f3-55e811c19492,Debit Card,213.4,2023-11-24,Paid
bc754165-04a7-4976-971b-e4442f9484d3,2024-05-10,2024-09-07,30,247.39,West Brian,New Mirandafurt,371b1977-4a82-4000-8ed3-1fbc5188b37b,Timothy Ross,42b7f32f-bab0-4f2c-819f-78bd0aa14e69,Katherine,Johnson,wendycalderon@example.com,+1-312-430-5714x48005,"756 Harris Brook Apt. 872
East Ryan, FL 99774",495-18-2313,Active,Truck,9eda3dfe-df57-4ee2-8bb3-a8308dbcda40,Davila-Mccoy,account,2010,Convertible,FQE 573,fe43fa7c-11a1-4d5b-8014-aa79385410bc,130513,39.26,11dcf2f5-17d8-4ea4-addd-4fd3b80460d5,Leonard Inc,Mannville,Michigan,Jamaica,49876,b7c75824-9b36-41dd-97aa-06c3b72f1119,PayPal,125.38,2024-05-30,Pending
28a29a7c-ddfd-48ad-8437-41e9128eda13,2024-01-18,2025-03-13,19,377.34,Port Ashleyfort,New Ryan,63f9feba-8867-47a6-902a-8a0c9365da8b,Catherine Holmes,1885a718-5fb3-48c9-bec4-e223e028d16e,Holly,Jacobs,marissa50@example.com,609-413-5128,"97396 Carr Throughway
Christensenland, AS 30553",689-57-1998,Inactive,Coupe,1cef8360-a982-4fd9-8307-1789dd49e4be,Love PLC,need,2005,Hatchback,014 1911,f3132985-8451-43f6-81bd-b1c2a0cbfd49,159614,98.4,f7ff4c57-fca5-42d2-af31-87b0f424eca0,Garza Ltd,New Nicholas,Tennessee,Anguilla,30995,b20d42ea-2c79-47e2-be61-8b4c9ec6c10c,Cash,339.85,2024-01-01,Paid
a7d50016-d6f9-4129-98f2-9a6fde6ef329,2024-01-11,2025-07-13,1,125.25,Thompsonfort,Wellston,b8314e6d-01cf-4a62-bdf8-bffe1c14acf8,Kristen Acosta,d5b0feb6-6720-40df-9042-a55e38212bac,Teresa,Jenkins,carrieduncan@example.com,+1-996-975-5184x44759,"09991 Eric Orchard Apt. 524
Vanessatown, MI 58987",647-28-1271,Active,SUV,1a89765f-3542-4224-8af4-cab6027eecd5,Brown Group,little,2019,Hatchback,DNG-4017,a08732cc-3379-490a-a3a7-192631548b99,189369,68.32,637b86e7-ea43-444d-8c1b-9dc95c7758d2,"Hill, Olson and Boyd",Gregorybury,Kansas,Korea,28686,88626e16-3213-47b1-81fd-c59cbeea561f,PayPal,348.66,2023-11-18,Pending
4a9e31a6-ef5a-4236-980a-efaf6db01090,2024-03-27,2025-06-02,29,234.98,New Veronicafort,New Rebeccaside,fdfb30b5-bfed-4305-9034-7138e4f2e16e,Stephen Scott,c9904bb5-4029-4e92-9f7d-76c0998e4e70,Brianna,Adams,kellysalas@example.net,4599500970,"93272 White Mountains
Port Kyliemouth, AL 27120",869-54-4294,Inactive,Van,5ca71cd1-116f-44ba-a23f-ebc13ed2c57b,"Bryant, Herrera and Rodriguez",occur,2020,Truck,UQY7603,8dc04a98-cf80-43f4-af44-4a1fe304bdd6,44758,36.22,9de436ae-6e71-4951-a361-9937a38af6c8,Valenzuela Group,Anthonytown,Rhode Island,Niue,31262,2235b054-6f62-4252-801a-1b79477fdfce,Credit Card,226.05,2024-04-30,Paid
c5b223c9-5010-4195-b9c8-e17181b80681,2023-09-13,2024-09-03,25,68.17,South Jesse,North Kaylaville,b347cf56-bf57-4543-9326-6e7dc74d9bb4,Stacy Garcia,7214abee-e05f-4067-b62b-5c0d76678508,Tara,Patterson,ereese@example.org,817.491.4423,"6213 David Orchard
Port Michelle, TN 89083",023-31-5212,Inactive,Wagon,22e02597-e8d9-4b98-8321-6a0b934a1623,Allen-Velasquez,term,2016,SUV,4X NP451,e107c1df-dd16-41be-bbf9-f11c24ab4199,64565,50.79,a8184f18-298b-498f-8e64-b99ff2f81e77,"Hill, Ochoa and Morgan",New Suzannemouth,Michigan,Spain,85273,f448e7ee-fec9-44af-bb26-c114e8ede21e,Cash,285.02,2024-03-09,Pending
